region,year,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
군위,2023,12.753599722796054,13.232730635450324,31.576833938047205,982.818398075214,32.36451612903225,-9.541935483870969,41.906451612903226,24.702780867630697,2.217281105990783,24.87856630824373,-0.5268049155145931,1739.5,485.5,2.5,110.26865400299954,1153.5,61.0,1136.0,120.5
군위,2024,13.715426708688666,12.244178717093066,30.107840106333917,988.2603549380289,34.50967741935484,-6.158064516129032,40.66774193548387,26.231648745519717,2.479641577060932,26.231648745519717,0.7877641824249165,1068.5,358.0,1.0,101.83319207320616,575.0,56.5,575.0,91.5
영주,2019,12.043374935995907,11.214456605222734,30.198762574056907,894.3374898648831,30.345161290322583,-6.790322580645161,37.13548387096775,22.661935483870966,0.08421658986175114,22.84304659498208,0.08421658986175114,1095.0,240.0,0.0,75.09198712367574,516.5,47.0,427.5,47.0
영주,2020,12.04581819305401,10.426149116302065,29.608888108848053,856.5941723864441,29.993548387096773,-5.219354838709678,35.21290322580645,23.099534050179212,6.322724014336917,23.099534050179212,0.7992584352984798,1862.0,610.5,2.0,129.21464687037832,1342.0,45.5,1342.0,132.0
영주,2021,12.402626728110603,10.650464669738863,27.557332839776482,887.5634686107285,31.190322580645162,-7.458064516129032,38.648387096774194,23.05698924731183,0.272119815668203,23.463655913978496,0.272119815668203,1433.5,290.0,4.0,80.82492995117524,770.0,22.5,659.5,22.5
영주,2022,12.464921274961597,10.960722606246799,29.10092504150647,985.1735989409201,30.638709677419353,-7.025806451612904,37.66451612903226,24.218387096774194,-1.7053763440860215,24.218387096774194,-1.7053763440860215,1199.0,379.0,1.0,107.29673516048189,759.5,15.5,759.5,15.5
영주,2023,13.28074884792627,10.852588965693805,28.54732778342455,933.3436899727499,31.738709677419354,-6.27741935483871,38.016129032258064,24.711684587813618,3.477726574500769,24.711684587813618,0.6368663594470046,2325.5,620.0,10.5,100.00978603819541,1477.5,78.0,1477.5,156.0
영주,2024,14.121555122976142,10.214393461871216,27.036048267556918,959.8934198950843,33.567741935483866,-4.212903225806452,37.780645161290316,25.905232974910394,3.2514336917562723,25.905232974910394,1.3328513162773452,1560.0,441.5,2.5,92.3701711624418,853.0,60.5,853.0,125.0
장수,2019,10.92971198156682,11.15597414234511,30.6809083040443,867.2834164474137,28.270967741935483,-8.09032258064516,36.36129032258064,21.524301075268813,1.5781003584229392,21.524301075268813,-0.6215821812596006,1267.5,281.5,8.5,76.04183428544775,617.0,89.5,617.0,104.0
장수,2020,10.762547892720306,10.39372234581634,29.79520923904846,850.1095467538445,28.5,-6.383870967741935,34.883870967741935,20.778673835125446,5.220394265232975,21.933118279569893,-0.14263997033741194,2182.5,679.5,9.5,120.1394032878911,1534.5,82.0,1510.5,169.0
장수,2021,11.305588837685612,10.684536610343061,29.174723413334867,865.5657558802924,28.567741935483873,-8.05483870967742,36.62258064516129,22.073082437275986,-0.45284178187403984,22.073082437275986,-0.45284178187403984,1418.0,403.0,3.5,87.4272578580971,752.5,74.5,752.5,74.5
장수,2022,10.797347670250895,11.133299411162312,30.41080991599298,966.2208022407464,28.11935483870968,-8.490322580645161,36.60967741935484,22.488602150537634,-3.1421658986175114,22.488602150537634,-3.1421658986175114,972.0,208.5,0.5,84.48788681021911,558.0,30.0,558.0,30.0
장수,2023,11.648687275985663,10.838317972350232,29.044593459012226,897.0575160060059,29.238709677419354,-8.07741935483871,37.31612903225806,22.738709677419354,1.866935483870968,22.738709677419354,-0.4749999999999999,2169.0,720.5,12.0,107.79804726092922,1366.5,75.5,1366.5,206.5
장수,2024,12.328673835125452,10.257806822395253,28.08372440921548,919.3601801426645,31.17096774193548,-5.354838709677419,36.5258064516129,20.087168458781363,1.9637992831541216,24.00799283154122,0.3526881720430108,1574.5,491.5,15.5,92.64400107517099,789.5,132.5,745.0,185.5
청송,2019,10.858125320020482,13.166258320532513,34.007166132808344,896.1215834201394,29.13225806451613,-9.583870967741936,38.71612903225807,18.757025089605733,-1.0700076804915515,21.962401433691756,-1.0700076804915515,1064.0,196.0,10.5,77.71709684590374,504.5,61.5,447.5,61.5
청송,2020,10.79008188110246,12.753941416388578,32.41021263201892,875.1749204710395,30.548387096774192,-8.803225806451612,39.351612903225806,21.207240143369177,4.754659498207887,22.17390681003584,-0.4342602892102334,1394.5,379.0,1.0,108.31897525009795,931.5,42.0,707.5,185.5
청송,2021,10.986530337941629,12.442566564260112,31.466761582828262,889.3683345719131,29.64516129032258,-9.896774193548387,39.541935483870965,21.948566308243727,-0.9226958525345621,22.071899641577062,-0.9226958525345621,1181.5,277.5,0.0,86.60791948886987,689.0,28.0,553.0,28.0
청송,2022,10.614180107526881,13.515483870967742,33.236554021077005,986.0411054802016,29.63225806451613,-11.03225806451613,40.66451612903226,22.80017921146953,-3.278609831029186,22.80017921146953,-3.278609831029186,688.5,154.5,0.0,91.2949352245071,401.0,7.0,401.0,7.0
청송,2023,11.367298387096776,13.28557155657962,32.71528463291973,945.2300715829317,30.187096774193545,-10.422580645161291,40.60967741935484,23.218888888888888,1.1680107526881718,23.218888888888888,-1.1879032258064517,1501.5,411.0,5.0,99.91130473213774,935.0,66.5,935.0,140.0
청송,2024,12.2709550735385,12.100152638734398,30.96712059697569,948.7055898039371,32.02258064516129,-7.051612903225807,39.0741935483871,24.370752688172043,1.6094623655913978,24.370752688172043,-0.15743418613274018,1241.5,335.0,2.0,90.05144643137976,630.5,76.0,630.5,144.5
충주,2020,14.827125907092537,8.565720641983157,23.611714377926223,944.8876779412191,29.677419354838708,-6.6000000000000005,36.277419354838706,22.063906810035842,,23.22057347670251,-2.8551724137931034,1177.0,504.5,7.0,111.17993104600457,1057.0,0.0,967.5,7.0
충주,2021,11.874963517665131,9.717689452124935,24.559626040132038,934.2893272536701,31.16774193548387,-8.399999999999999,39.567741935483866,22.92620071684588,-1.0715437788018434,23.322867383512545,-1.0715437788018434,1387.5,292.5,4.0,88.3505645400871,808.5,30.0,677.5,30.0
충주,2022,11.359066820276498,9.957249103942653,25.912921609653228,1032.036019272879,29.69677419354839,-8.729032258064516,38.42580645161291,23.564157706093187,-3.6608678955453153,23.564157706093187,-3.6608678955453153,1504.5,469.5,1.0,118.15787453658248,1075.0,7.5,1075.0,7.5
충주,2023,12.257885304659496,9.695298259088583,25.487978801208005,968.0012639227152,30.38064516129032,-7.658064516129032,38.038709677419355,23.81659498207885,1.9526881720430105,24.004372759856633,-0.9526881720430108,1690.0,584.5,4.0,113.46563873920563,1077.0,51.5,1057.0,126.5
충주,2024,13.033782597948338,9.38226486219256,25.07978017764893,983.2160489513635,32.38709677419355,-5.02258064516129,37.40967741935484,25.03,1.5123297491039427,25.03,-0.1342602892102335,1578.0,532.5,13.0,105.95171484033132,888.5,71.0,888.5,132.0
